,size,filename,nodes_before_prune,edges_before_prune,time_before_prune,nodes_after_prune,edges_after_prune,time_after_prune
82,6,9.BIFXML,6,10,0.03961720699589932,3,1,0.013187415999709629
83,6,5.BIFXML,6,9,0.03921275000175228,3,1,0.013852513999154326
84,6,7.BIFXML,6,6,0.040584431000752375,3,2,0.013932848996773828
85,6,2.BIFXML,6,7,0.03694357199856313,5,5,0.026800394000019878
86,6,0.BIFXML,6,9,0.03776146599557251,3,2,0.014102724999247584
87,6,8.BIFXML,6,7,0.037207961999229155,5,4,0.02661161399737466
88,6,4.BIFXML,6,8,0.04029639499640325,4,3,0.01983945599931758
89,6,6.BIFXML,6,7,0.0520010749969515,2,1,0.006866636998893227
90,28,3.BIFXML,28,186,85.70370480099518,26,138,17.16733592100354
91,28,1.BIFXML,28,200,81.3861635409994,27,152,34.852119611998205
92,28,9.BIFXML,28,189,89.96775406599772,27,131,29.972287218995916
93,28,5.BIFXML,28,182,68.39956353799789,25,111,7.486563914004364
94,28,7.BIFXML,28,211,86.2356560699991,27,148,32.17601344799914
95,28,2.BIFXML,28,176,68.79343498100206,28,128,61.25795417899644
96,28,0.BIFXML,28,177,72.21137498300232,26,131,15.396775699999125
97,28,8.BIFXML,28,193,80.56404928599659,28,158,71.5314866250119
98,28,4.BIFXML,28,188,76.3151070199965,27,157,32.77612510199833
99,28,6.BIFXML,28,173,67.67761831800453,27,132,30.017823392990977
100,17,3.BIFXML,17,84,0.6515823480003746,17,66,0.3509005910018459
101,17,1.BIFXML,17,58,0.2658738480095053,16,41,0.17512811200867873
102,17,9.BIFXML,17,72,0.32604377799725626,11,21,0.08169330800592434
103,17,5.BIFXML,17,71,0.31384516099933535,15,47,0.15759690999402665
104,17,7.BIFXML,17,67,0.39237094500276726,17,56,0.26587349599867593
105,17,2.BIFXML,17,76,0.36124221699719783,15,44,0.16537208900263067
106,17,0.BIFXML,17,66,0.2746258059924003,13,30,0.11207130999537185
107,17,8.BIFXML,17,71,0.317209412009106,16,58,0.21558559700497426
108,17,4.BIFXML,17,59,0.2545760629873257,16,41,0.17706054299196694
109,17,6.BIFXML,17,63,0.2570537569990847,15,37,0.14172116899862885
110,10,3.BIFXML,10,22,0.06974083700333722,8,11,0.04796452198934276
111,10,1.BIFXML,10,24,0.07929293300549034,9,14,0.05886237899539992
112,10,9.BIFXML,10,23,0.07553698999981862,9,14,0.05799406100413762
113,10,5.BIFXML,10,20,0.07139468799869064,9,12,0.059723997008404694
114,10,7.BIFXML,10,26,0.08118482099962421,8,11,0.05011140799615532
115,10,2.BIFXML,10,20,0.0716852340119658,7,12,0.04093627799011301
116,10,0.BIFXML,10,24,0.07290810700214934,7,8,0.04075812399969436
117,10,8.BIFXML,10,20,0.07360035101009998,10,19,0.06821618899994064
118,10,4.BIFXML,10,25,0.07476675001089461,7,6,0.041831641996395774
119,10,6.BIFXML,10,26,0.07431554100185167,8,14,0.04992920599761419
120,19,3.BIFXML,19,94,0.8500231430080021,18,72,0.3704067189974012
121,19,1.BIFXML,19,78,0.6768083250062773,19,64,0.5609369689918822
122,19,9.BIFXML,19,90,0.6969606549973832,18,81,0.44643247600470204
123,19,5.BIFXML,19,89,0.8275074600096559,16,54,0.21331618299882393
124,19,7.BIFXML,19,96,0.9020728889881866,19,85,0.709343328999239
125,19,2.BIFXML,19,90,0.9784252440003911,19,71,0.6857998000050429
126,19,0.BIFXML,19,85,0.6355077769985655,12,24,0.09414606000063941
127,19,8.BIFXML,19,78,0.5458651310036657,15,50,0.15317261999007314
128,19,4.BIFXML,19,95,0.7331436079984996,18,81,0.41087037000397686
129,19,6.BIFXML,19,82,0.5432446299964795,17,57,0.22917851200327277
130,26,3.BIFXML,26,153,15.99265922199993,25,106,6.679767243986134
131,26,1.BIFXML,26,160,17.99568448199716,23,96,1.9006587199983187
132,26,9.BIFXML,26,150,15.423925632989267,25,98,6.861059946997557
133,26,5.BIFXML,26,151,17.51254645100562,25,112,7.734723436005879
134,26,7.BIFXML,26,157,15.826939610997215,25,114,7.432995955998194
135,26,2.BIFXML,26,156,15.42484942599549,24,108,3.5443608979985584
136,26,0.BIFXML,26,149,14.636649345993646,25,111,6.901968948994181
137,26,8.BIFXML,26,182,22.174722720999853,22,106,1.351045517003513
138,26,4.BIFXML,26,159,17.64614556200104,24,107,3.7685674769891193
139,26,6.BIFXML,26,171,21.808975781008485,26,152,17.091483391006477
140,8,3.BIFXML,8,13,0.053229506011120975,7,10,0.043849203997524455
141,8,1.BIFXML,8,14,0.05443434600601904,7,10,0.03955021999718156
142,8,9.BIFXML,8,16,0.05377322300046217,5,4,0.026446899006259628
143,8,5.BIFXML,8,12,0.05293778300983831,8,12,0.051048635999904945
144,8,7.BIFXML,8,15,0.05424250700161792,6,6,0.03434296199702658
145,8,2.BIFXML,8,18,0.05776834799326025,6,9,0.0344860180048272
146,8,0.BIFXML,8,17,0.05968800799746532,7,12,0.041958349000196904
147,8,8.BIFXML,8,15,0.054330407991074026,6,8,0.03399342800548766
148,8,4.BIFXML,8,15,0.05335693899542093,7,10,0.04044898200663738
149,8,6.BIFXML,8,14,0.051285326000652276,6,7,0.03380349099461455
150,21,3.BIFXML,21,86,1.0985745610087179,21,78,1.0055377239914378
151,21,1.BIFXML,21,121,1.530888134991983,20,90,0.6378506949986331
152,21,9.BIFXML,21,115,1.6811788420018274,21,97,1.1085122340009548
153,21,5.BIFXML,21,100,2.4191217540064827,18,56,0.2684042920009233
154,21,7.BIFXML,21,98,1.2399676539935172,20,61,0.5920808959926944
155,21,2.BIFXML,21,104,1.4190643100009765,20,75,0.6101019860070664
156,21,0.BIFXML,21,104,2.2135949100047583,21,87,1.0794464470091043
157,21,8.BIFXML,21,114,1.2636919549986487,21,76,0.9581775400001789
158,21,4.BIFXML,21,101,1.3129676539974753,20,82,0.7014682089939015
