,size,filename,nodes_before_prune,edges_before_prune,time_before_prune,nodes_after_prune,edges_after_prune,time_after_prune
123,19,5.BIFXML,19,89,0.9862902989989379,19,77,0.7322090520028723
124,19,7.BIFXML,19,96,0.9605415179976262,16,57,0.2017287339986069
125,19,2.BIFXML,19,90,0.9762712619995,19,74,0.5944953830039594
126,19,0.BIFXML,19,85,0.6168506069952855,17,63,0.2759236739948392
127,19,8.BIFXML,19,78,0.5446061740076402,18,66,0.3392746400058968
128,19,4.BIFXML,19,95,0.7595948090020102,19,83,0.798866226003156
129,19,6.BIFXML,19,82,0.8527541569928871,16,53,0.24686256299901288
130,26,3.BIFXML,26,153,16.61134834701079,25,111,7.062003328988794
131,26,1.BIFXML,26,160,18.847684427993954,22,80,0.9571031920058886
132,26,9.BIFXML,26,150,15.996449065001798,24,104,3.761375695990864
133,26,5.BIFXML,26,151,17.030639978998806,24,103,4.0619772450008895
134,26,7.BIFXML,26,157,16.09141490799084,24,117,3.824561605011695
135,26,2.BIFXML,26,156,17.039601844997378,25,118,7.840664890987682
136,26,0.BIFXML,26,149,15.474802507000277,24,109,3.8073454389959807
137,26,8.BIFXML,26,182,24.013784954993753,25,158,10.824218930007191
138,26,4.BIFXML,26,159,18.244586146000074,24,111,4.360520781992818
139,26,6.BIFXML,26,171,25.284701748008956,25,125,10.145338724003523
140,8,3.BIFXML,8,13,0.05292765999911353,5,4,0.025495623995084316
141,8,1.BIFXML,8,14,0.05561382698942907,5,6,0.02671808301238343
142,8,9.BIFXML,8,16,0.05784012000367511,8,14,0.05582008599594701
143,8,5.BIFXML,8,12,0.05265864600369241,5,3,0.02623336600663606
144,8,7.BIFXML,8,15,0.05338303399912547,7,11,0.047720446993480437
145,8,2.BIFXML,8,18,0.05521192398737185,6,9,0.038868805990205146
146,8,0.BIFXML,8,17,0.06995258100505453,6,7,0.039045404992066324
147,8,8.BIFXML,8,15,0.0608460980001837,6,10,0.04077898799732793
148,8,4.BIFXML,8,15,0.059897383995121345,8,13,0.05929398498847149
149,8,6.BIFXML,8,14,0.05491471699497197,5,4,0.027339667998603545
150,21,3.BIFXML,21,86,1.052299065006082,18,56,0.3006535109889228
151,21,1.BIFXML,21,121,1.6442634020058904,19,87,0.45648724598868284
152,21,9.BIFXML,21,115,1.7295635519985808,19,80,0.43851082399487495
153,21,5.BIFXML,21,100,2.8715726119989995,16,43,0.16079779600840993
154,21,7.BIFXML,21,98,1.4084643399983179,21,74,1.1108485869917786
155,21,2.BIFXML,21,104,2.5271800280024763,19,64,0.41841135499998927
156,21,0.BIFXML,21,104,2.7419006589916535,17,45,0.34376987400173675
157,21,8.BIFXML,21,114,1.643418912004563,20,81,0.9660798529948806
158,21,4.BIFXML,21,101,1.3434519890142838,16,39,0.1861743600020418
159,21,6.BIFXML,21,98,1.5012351389887044,18,48,0.2726070109929424
160,30,3.BIFXML,30,204,186.46593771300104,27,139,15.070259157000692
161,30,1.BIFXML,30,236,175.1591422939964,28,150,35.101420042003156
162,30,9.BIFXML,30,232,186.4167793319939,30,193,156.73767204499745
163,30,5.BIFXML,30,206,163.5582084380003,29,167,71.78792917099781
164,30,7.BIFXML,30,220,182.19930607499555,30,192,157.99769251901307
165,30,2.BIFXML,30,214,161.56335756699264,29,156,66.73462545999791
166,30,0.BIFXML,30,218,156.20261832700635,28,170,33.07968385001004
167,30,8.BIFXML,30,220,160.2069372709957,29,160,70.1396862929978
168,30,4.BIFXML,30,224,163.78634018899174,29,185,71.04144731900305
169,30,6.BIFXML,30,202,158.08441261701228,28,156,32.93344664199685
170,24,3.BIFXML,24,149,11.684192094995524,20,71,0.5959288790036226
171,24,1.BIFXML,24,138,7.5398775299981935,20,80,0.6957712599978549
172,24,9.BIFXML,24,142,8.802108724004938,23,118,3.9955475789902266
173,24,5.BIFXML,24,128,7.2606972429930465,21,72,0.8890186190110398
174,24,7.BIFXML,24,135,7.6685563110077055,24,119,6.978479971992783
175,24,2.BIFXML,24,132,9.497048057004577,23,112,4.802982595007052
176,24,0.BIFXML,24,150,10.963508036002168,23,117,3.7808695860003354
